dependent,period,quartile_vs_Q1,coef,p_value,n
share,near_event,Q2,-0.00029073296401193813,0.9522856630353809,145052
share,near_event,Q3,-0.002377257463156566,0.6501493839960701,145052
share,near_event,Q4,-0.02456246944323822,0.00001038907072443812,145052
share,baseline,Q2,0.006336231700021599,0.10252845228692765,171119
share,baseline,Q3,0.0018989076222050722,0.6581528112965942,171119
share,baseline,Q4,-0.0110796129583927,0.017828701606160784,171119
log_volume,near_event,Q2,0.05741651086536745,0.07655115777965893,145052
log_volume,near_event,Q3,0.17659874747721832,1.728652674783381e-6,145052
log_volume,near_event,Q4,0.2653686521618381,5.318491142278003e-10,145052
log_volume,baseline,Q2,0.10457847400790762,2.827456169859491e-7,171119
log_volume,baseline,Q3,0.22589476002200803,2.986974835829721e-20,171119
log_volume,baseline,Q4,0.33297657181743046,2.640278727951671e-32,171119
